Date,Time,Location,Operator,Flight #,Route,Registration,cn / ln,Aboard Total,Aboard Passengers,Aboard Crew,Fatalities Total,Fatalities Passengers,Fatalities Crew,Ground,Summary,Url,Latitude,Longitude
"March 17, 2000",12:31,"Ennadai Lake, Canada",Points North Air Services,,"Points North Landing, SK - Ennadai Lake",C-FNTF,12344,2,0.0,2.0,2,0.0,2.0,0.0,"After lifting off the cargo plane entered a steep, nose-up attitude, banked to the left, and crashed. The pilot lost control of the aircraft while conducting a go-around from a aborted landing on the ice strip.  The aircraft's center of gravity on the accident flight was beyond the aft C of G limit. The crew did not recalculate the aircraft's weight and balance for the second flight. Leaks in the heater shroud allowed carbon monoxide gas to contaminate cockpit and cabin air.",https://www.planecrashinfo.com/2000/2000-12.htm,61.0943811,-100.8470139
"March 22, 2000",17:45,"Herreira, Spain",Military - Ejército del Aire,,Sevilla - Herreira,TM-12D-73,314,7,0.0,7.0,7,0.0,7.0,0.0,Crashed while attempting to land in poor weather.,https://www.planecrashinfo.com/2000/2000-13.htm,38.9778759,1.3198996
"March 24, 2000",18:04,"Kadirana, Sri Lanka",Sky Cabs,,Bangkok - Colombo,RA-11302,8346004,8,0.0,8.0,6,0.0,6.0,2.0,"The pilot -in-command made two requests to land because he was low on fuel. While attempting to land, he ran out of fuel and crashed short of the runway. The Cargo plane broke into four parts and crashed into houses.",https://www.planecrashinfo.com/2000/2000-14.htm,6.9782078,79.8746542
"March 25, 2000",,"Huambo, Angola",Uralex,,Huambo - Luanda,D2-MAJ,ZZX3201,33,29.0,4.0,3,3.0,0.0,0.0,"The aircraft, leased from a Ukrainian company, overran they runway and crashed into a ditch after an aborted takeoff. Brake failure as the pilot attempted to avoid a hole in the runway.",https://www.planecrashinfo.com/2000/2000-15.htm,-12.7772455,15.7346713
"March 30, 2000",,"Near Anuradhapura, Sri Lanka",Military - Sri Lankan Air Force,,Jaffna/Palaly AFB - Anuradhapura AFB,UR-79170,13410,40,36.0,4.0,40,36.0,4.0,0.0,The crew reported engine trouble 10 minutes before it crashed while en route. Members of the Liberation Tigers confessed to firing missiles at the plane.,https://www.planecrashinfo.com/2000/2000-16.htm,8.334985,80.4106096
"April 05, 2000",09:30,"Marianna, Florida",Bankair,,Opa-Locka - Marianna,N86BE,35-194,3,0.0,3.0,3,0.0,3.0,0.0,"While on finals the training flight pitched up, the right wing dropped, and the airplane struck trees, struck wires, caught fire on a road. The pilot's failure to maintain control of the airplane while on final approach resulting in the airplane striking trees. Factors in this accident were: improper planning of the approach, and not obtaining the proper alignment with the runway.",https://www.planecrashinfo.com/2000/2000-17.htm,30.7743596,-85.2268735
"April 19, 2000",07:02,"Samal Island, Philippines",Philippine Airlines,541,Manila - Davao,RP-C3010,21447/508,131,124.0,7.0,131,124.0,7.0,0.0,"The aircraft circled Davao airport in an attempt to land but crashed onto a coconut plantation on the mountainous Samal Island. The plane aborted a previous landing attempt because another plane was on the runway. Weather and visibility were good in the area but the landing attempt may have been hampered by low-lying clouds. The last message from the crew was that they were 7 miles from the airport on final approach. Nothing more was heard from the plane. The aircraft disintegrated upon impact near Mt. Kalangan. The elevation of the accident site was about 500 feet above sea level but the plane should have been at a altitude of 1,500 feet.",https://www.planecrashinfo.com/2000/2000-18.htm,7.0453024,125.7501162
"April 19, 2000",,"Pepa ,Congo",Military - Centrafricain Airlines,,"Pepa, Congo - Kigali, Rwanda",TL-ACM,9340706,24,20.0,4.0,24,20.0,4.0,0.0,"The military flight crashed after losing its engines after striking birds,unable to return to land.",https://www.planecrashinfo.com/2000/2000-19.htm,-7.0770001,29.724444
"April 29, 2000",,"Bapi, Papua New Guinea",North Coast Aviation,,,P2-ISA,703,4,1.0,3.0,4,1.0,3.0,0.0,"While taking off the plane struck trees at the end of the runway, crashed and burned.",https://www.planecrashinfo.com/2000/2000-20.htm,-7.6572063,147.0944802
"May 02, 2000",14:39,"Lyon Satolas, France",Northern Executive Aviation,4B,,G-MURI,35-646,5,3.0,2.0,2,0.0,2.0,0.0,"During a landing attempt the crew shut down No. 1 engine and declared an emergency. The plane was told to divert to Lyon Satolas. Power was applied to the remaining engine and the plane banked to the left causing the wing to touch the ground, crash and catch fire. Loss of yaw and roll control which appears to be due to the failure to monitor flight symmetry at the time of the thrust increase on the right engine.",https://www.planecrashinfo.com/2000/2000-21.htm,45.7244237,5.0865172
"May 03, 2000",,"Kurupung, Guyana",Trans Guyana Airways,,,8R-GAC,694,1,0.0,1.0,1,0.0,1.0,0.0,The cargo plane crashed into a cloud covered mountain.,https://www.planecrashinfo.com/2000/2000-22.htm,6.2465363,-60.1415786
"May 10, 2000",20:30,"Kaunakakai, Hawaii",Price Aircraft Company,,Kahului - Hoolehua,N241H,465-5,6,4.0,2.0,6,4.0,2.0,0.0,While on approach the charter flight hit the ridge of a mountain. Inadequate crew coordination led to the captain's decision to discontinue the instrument approach procedure and initiate a maneuvering descent solely by visual references at night in an area of mountainous terrain. The crew failed to review the instrument approach procedure and the copilot failed to provide accurate information regarding terrain clearance and let down procedures during the instrument approach.,https://www.planecrashinfo.com/2000/2000-23.htm,21.0906247,-157.0208436
"May 17, 2000",09:47,"Moanda, Gabon",Avirex,,Libreville - Moanda,TR-LFK,UC-133,10,8.0,2.0,3,2.0,1.0,0.0,The charter flight crashed while on approach in fog and mist.,https://www.planecrashinfo.com/2000/2000-24.htm,-1.554764,13.2218993
"May 21, 2000",11:28,"Near Wilkes-Barre, Pennsylvania",Executive Airlines,Charter,Atlantic City - Wilkes-Barre,N16EJ,834,19,17.0,2.0,19,17.0,2.0,0.0,"The plane crashed into a heavily wood area  as it was making a second approach to Wilkes-Barre/Scranton International Airport. Visibility was poor in wind, low clouds and light rain.  While attempting the second approach, the pilot reported both engines had quit but restarted one of them before the plane crashed. Investigation revealed indications of rotation on the left engine at the time of impact but the power level was not known. The right engine and propellers exhibited little or no rotation at the time of impact. Failure of the crew to ensure an adequate supply of fuel for the flight, which led to the stoppage of the right engine due to fuel exhaustion and the intermittent stoppage of the left engine.  Failure of the crew to monitor the plane's fuel state and the flightcrews failure to maintain directional control after the initial stoppage.",https://www.planecrashinfo.com/2000/2000-25.htm,41.2464824,-75.8817316
"May 25, 2000",,"Near Manila, Philippines",Philippine Airlines,812,Davao - Manila,F-OHZN,,298,284.0,14.0,1,1.0,0.0,0.0,"A hijacker robbed passengers, jumped out of the plane with a homemade parachute and was killed in the jump.",https://www.planecrashinfo.com/2000/2000-26.htm,14.5904492,120.9803621
"May 31, 2000",19:05,"Off Whyalla, Australia",Whyalla Airlines,904,Adelaide - Whyalla,VH-MZK,31-8152180,8,1.0,7.0,8,1.0,7.0,0.0,"En route and descending at Whyalla,  at 6,000 ft., the pilot transmitted a MAYDAY, reporting that both engines of the aircraft had failed, that there were eight persons on board and that he was going to have to ditch the aircraft, but was trying to reach Whyalla. Three minutes later he reported his position 15 nm off the coast of Whyalla. No further transmissions were heard from the plane and the wreckage was found in Spencer Gulf the next morning. Malfunction of both engines due to the failure of components of the engines. A fractured connecting rod in the left engine led the pilot to increase the power setting in the right engine, leading to the No. 6 piston being holed in the right engine.",https://www.planecrashinfo.com/2000/2000-27.htm,-33.0382085,137.5843572
"June 05, 2000",11:35,"Accra, Ghana",Ghana Airlink,200,Tamale - Accra,G-524,10535,52,48.0,4.0,7,7.0,0.0,0.0,"The plane made a hard landing, short of the runway and broke in two during a heavy rainstorm.",https://www.planecrashinfo.com/2000/2000-28.htm,5.5571096,-0.2012376
"June 22, 2000",01:16,"Shitai, China",Wuhan Airlines,343,Enshi - Wuhan,B-3479,06708,44,40.0,4.0,44,40.0,4.0,7.0,"The plane was attempting to land at Whuan's Wanjiatun Airport in thunderstorms and heavy rain when it was struck by lightning causing it to explode and crash. Half of the plane crashed into a farmhouse and the other half crashed near a dike on the Hanjiang River near the village of Shitai, 15 miles from Wuhan. Seven people aboard a boat on the southern bank of the river were killed when they were swept into the river by the impact of the crash.",https://www.planecrashinfo.com/2000/2000-29.htm,30.1875746,117.5942216
"June 23, 2000",11:41,"Boca Raton, Florida",Universal Jet Aviation,,Boca Raton - Fort Pierce,N220JC,55-050,3,1.0,2.0,3,1.0,2.0,0.0,Shortly after takeoff the aircraft impacted another plane and crashed to the ground. The failure of the pilot's of both airplanes to maintain a visual lookout while climbing and maneuvering resulting in an in-flight collision and subsequent collision with residences and terrain.,https://www.planecrashinfo.com/2000/2000-30.htm,26.3586885,-80.0830984
"June 27, 2000",,"Off Shimano, Japan",Military - Japanese Air Self-Defence Force,,Training,88-1027,8027,5,0.0,5.0,5,0.0,5.0,0.0,Crashed into the sea during a test flight.,https://www.planecrashinfo.com/2000/2000-31.htm,34.5594782,135.4654903
"July 02, 2000",10:50,"Off Cagayancillo, Philippines",Military - Philippine Air Force,,Cagayancillo - Puerto Princesa,N286,86,15,11.0,4.0,14,10.0,4.0,0.0,"Engine problems forced the pilot to return to the airport. However, he overshot the runway and crashed into the sea. One passenger was rescued by fishermen. Major General Santiago Madrid, chief of the southwestern military command, killed.",https://www.planecrashinfo.com/2000/2000-32.htm,9.577868,121.1993551
"July 08, 2000",19:50,"Near Villahermosa, Mexico",Aerocaribe,7831,Tuxtla Gutierrez - Villahermosa,N912FJ,912,19,17.0,2.0,19,17.0,2.0,0.0,"The plane crashed into a heavily forested area 42 miles southeast of Villahermosa. There was fog and rain in the area  at the time.  Flying VFR, deviation to avoid weather resulted in spatial disorientation of the crew which led to descending below a safe flying altitude to clear high ground.",https://www.planecrashinfo.com/2000/2000-33.htm,17.9884657,-92.9366326
"July 09, 2000",08:37,"Villavicencio, Colombia",CORAL Colombia,,Villavicencio - Mitu,HK-851P,383,19,15.0,4.0,13,9.0,4.0,0.0,"The cargo plane had 19 people aboard when it crashed into a farm after losing the No. 2 engine, two minutes after taking off from Villavicencio.",https://www.planecrashinfo.com/2000/2000-34.htm,4.1347644,-73.6201517
"July 13, 2000",00:34,"Raleigh, North Carolina",Win Win Aviation,,"Hinckley, IL - Louisburg, NC",N201RH,163,3,2.0,1.0,1,0.0,1.0,0.0,"The plane, on a positioning flight crashed into rugged woods during an approach to land. The pilot's continued VFR flight into IMC conditions, by failing to maintain altitude, and descending from VFR conditions into IMC, which resulted in him subsequently impacting with trees. Factors in this accident were: reduced visibility due to dark night and fog. An additional factor was the pilot was not certified for instrument flight.",https://www.planecrashinfo.com/2000/2000-35.htm,35.7803977,-78.6390989
"July 17, 2000",07:34,"Patna, India",Indian Airlines/Alliance Airlines,7412,Calcutta - Patna - Lucknow - New Delhi,VT-EGD,22280/671,58,52.0,6.0,55,49.0,6.0,5.0,"While attempting to land at Patna, the aircraft was too high and the crew attempted a go-around. During the second landing attempt, the aircraft was again high, veered to left and lost altitude until it crashed into houses in the Gardanibagh district and burst into flames. The cause of the accident was loss of control of the aircraft due to crew error. The crew did not followed the correct approach procedure, which resulted in the aircraft being high on approach. The crew then initiated a ""go-around procedure"" instead of an ""approach to stall recovery procedure"" resulting in an actual stall of the aircraft, loss of control and subsequent impact with the ground.",https://www.planecrashinfo.com/2000/2000-36.htm,25.6093239,85.1235252
"July 19, 2000",00:30,"Linneus, Maine",Airwave Transport,9807,Moncton - Montreal,C-GNAK,154,2,0.0,2.0,2,0.0,2.0,0.0,"After declaring an emergency the cargo plane crew requested the nearest airport. The aircraft soon after descended out of control and crashed on the eastern side of the Meduxnekeag River. The pilot-in-command's failure to maintain minimum control airspeed, which resulted in a loss of control. Factors in this accident were clouds, and a loss of engine power for undetermined reasons, while in cruise flight above the airplane's single engine service ceiling.",https://www.planecrashinfo.com/2000/2000-37.htm,46.0386716,-67.959596
"July 20, 2000",13:12,"Nassau, Bahamas",Allied Air Freight,,Nassau - Freeport,N54AA,12475,2,0.0,2.0,2,0.0,2.0,0.0,The cargo plane lost an engine on takeoff lost altitude and crashed 2 miles east of the airport.,https://www.planecrashinfo.com/2000/2000-38.htm,25.0782266,-77.3383438
"July 21, 2000",10:20,"Maui, Hawaii",Blue Hawaiian Helicopters,,Sight seeing,N510TG,5168,7,6.0,1.0,7,6.0,1.0,0.0,"The helicopter, on a sightseeing tour, crashed into mountains on the western slopes of Maui at an elevation of 2,850 feet inclement weather.",https://www.planecrashinfo.com/2000/2000-39.htm,20.8029568,-156.3106833
"July 25, 2000",16:44,"Gonesse, France",Air France,4590,Paris - New York City,F-BTSC,203,109,100.0,9.0,109,100.0,9.0,4.0,"The aircraft struggled to gain altitude after taking off from Charles de Gaulle airport. The pilot reported the No. 2 engine failed and struggled to steer towards Le Bourget airfield as smoke and fire trailed the jet's left wing.   The plane was unable to gain altitude, went nose high, stalled and crashed into a small hotel complex.  A metal strip left on the runway by another plane gashed one of the Concorde's tires which blew out sending a piece of rubber into the underside of the wing which sent a shockwave which ruptured a seam in the fuel tank. An electrical severed by another piece of rubber sparked which ignited leaking fuel ignited and started an uncontrollable fire. Power was lost to the No. 1 and No. 2 engines which led to loss of control of the aircraft and subsequent crash. Investigation revealed the metal strip was probably a thrust reverser part from Continental Airlines DC-10-30 , registered N13067 which departed Paris as Flight 055 to Newark. This is the first crash of a Concorde in aviation history. The French government convicted Continental and a Continental mechanic of a crime but an appeals court reversed the decision.",https://www.planecrashinfo.com/2000/2000-40.htm,48.9863555,2.4500537
"July 26, 2000",06:00,"Mafraq, Jordan",Military - Royal Jordanian Air Force,,,348,4073,13,,,13,,,0.0,Crashed on a training flight.,https://www.planecrashinfo.com/2000/2000-41.htm,32.5386102,38.1307328
"July 27, 2000",10:31,"Jodhura, Nepal",Royal Nepal Airlines,,Bajhang - Dhangadhi,9N-ABP,654,25,22.0,3.0,25,22.0,3.0,0.0,"The aircraft crashed into the Churia mountain range at 4,300 ft., 20 minutes into a 30 minute flight to Dhangadhi in rain and fog.",https://www.planecrashinfo.com/2000/2000-42.htm,28.7248746,80.6731093
"August 02, 2000",08:45,"Cubatao, Brazil",Air taxi - Lider Air Taxi,,Cubatao - Navegantes,PT-HRD,,6,5.0,1.0,6,5.0,1.0,0.0,"The helicopter exploded and crashed from a height of 1,000 ft.",https://www.planecrashinfo.com/2000/2000-43.htm,-23.8857982,-46.4241869
"August 06, 2000",15:55,"Puerto Montt, Chile",Military - Fuerza Aérea de Chile,-,Santiago - Coihaique,230,AB10-454,14,10.0,4.0,14,10.0,4.0,0.0,The aircraft crashed into a volcano after the pilot reported he was diverting to Puerto Montt because of ice formation on the wings. The wreckage was found 15 days later.,https://www.planecrashinfo.com/2000/2000-44.htm,-41.471798,-72.9395915
"August 09, 2000",08:00,"Burlington Township, New Jersey",Patuxent Airways / Private,,"Lakehurst, NY - Patuxent River, MD",N27944 / N2225G,7952056/79951271,11,8.0,3.0,11,8.0,3.0,0.0,"The two aircraft collided over a central New Jersey subdivision, scattering debris over a wide area. The Navajo had taken off from Lakehurst Naval Air Station and the Seminole from Northeast Philadelphia Airport.  The Navajo crashed into a two-story house while the Seminole fell into a soybean field. Two pilots and seven passenger were killed on the Navajo as were a pilot instructor and his student on the Seminole. Failure of the pilots of the two airplanes to see and avoid each other and maintain proper airspace separation during visual flight rules.",https://www.planecrashinfo.com/2000/2000-45.htm,40.072587,-74.8870076
"August 12, 2000",,"Near Tshikapa, Congo",Staer Air,,Kinshasa - Tshikapa,9Q-CJI,6004,27,21.0,6.0,27,21.0,6.0,0.0,The plane was approaching Tshikapa and the pilot informed the tower that it was having difficulties with its landing gear. The tower told the pilot to do a low fly-by for an evaluation and then make an emergency landing but the pilot refused and attempted to return to Kinshasa. The plane crashed 40 miles north of Tshikapa.,https://www.planecrashinfo.com/2000/2000-46.htm,-6.6399269,20.5405413
"August 23, 2000",19:30,"Off Manama, Bahrain",Gulf Air,072,Cairo - Manama,A4O-EK,0481,143,135.0,8.0,143,135.0,8.0,0.0,"The aircraft crashed into the Persian Gulf and exploded in flames while attempting to land at Bahrain International Airport. The crew decided to perform a missed approach after it was determined the aircraft was coming in too high and fast. Instructions were given for a 180 degree turn and climb to 2,500 feet. While performing the missed approach the plane suddenly descended rapidly from an altitude of 1,000 feet and crashed into the shallow waters of the gulf approximately 1 mile from the airport. The accident was a result of a fatal combination of factors, including the captain's failure to comply with standard operating procedures and the copilot's actions in not drawing the captain's attention to the deviations of the aircraft from the standard flight parameters. The captain may have suffered a ""spatial disorientation"" to ground warning systems, which could have made him falsely perceive the aircraft was pitching up. He responded by making a nose down input, resulting in the aircraft starting to descend, when aircraft warning systems were saying he should increase altitude.",https://www.planecrashinfo.com/2000/2000-47.htm,26.2235041,50.5822436
"September 02, 2000",,"Mount Montezuma, Colombia",Military - Fuerza Aérea Colombiana,,,FAC1659,32984,7,0.0,7.0,7,0.0,7.0,0.0,Flew into Mt. Montezuma.,https://www.planecrashinfo.com/2000/2000-48.htm,38.5818953,-114.7311155
"September 04, 2000",15:10,"Near Burketown, Australia",Charter - Central Air,,Perth - ?,VH-SKC,BB-47,8,7.0,1.0,8,7.0,1.0,0.0,"Shortly after departing Perth and after the aircraft had climbed through its assigned altitude, the pilot’s speech became significantly impaired and he appeared unable to respond to ATS instructions. Open microphone transmissions over the next 8-minutes revealed the progressive deterioration of the pilot towards unconsciousness and the absence of any sounds of passenger activity in the aircraft. No human response of any kind was detected for the remainder of the flight. Five hours after taking off from Perth, the aircraft impacted the ground 65 km ESE of Burketown, Queensland, and was destroyed. Incapacitation of the pilot and passengers a result of hypobaric hypoxia due to the aircraft being fully or partially unpressurised and their not receiving supplemental oxygen. The investigation could not determine the reason for the aircraft being unpressurised, or why the pilot and passengers did not receive supplemental oxygen.",https://www.planecrashinfo.com/2000/2000-49.htm,-17.7400597,139.5465396
"September 16, 2000",09:25,"Kumarapura, Sri Lanka",Military - Sri Lanka Air Force,,Colombo - Kalmunai,,,14,12.0,2.0,14,12.0,2.0,0.0,"The Air Force helicopter was on a domestic flight when it cashed into mountainous terrain 75 km from Colombo. The helicopter’s pilot had contacted air traffic controllers saying he had problems with visibility and was lowering his altitude. Sri Lanka, Muslim Congress leader M. H. M. Ashraff, 52, along with members of his entourage were killed.",https://www.planecrashinfo.com/2000/2000-50.htm,9.2270357,80.8050726
"October 06, 2000",16:55,"Reynosa, Mexico",Aeromexico,250,Mexico City - Reynosa - Matamoros,N936ML,47501/571,88,83.0,5.0,0,0.0,0.0,4.0,"The aircraft overshot the runway near Reynosa, Mexico and crashed into vehicles and houses coming to rest in a canal. The accident happened during a heavy rainstorm. The lights at the airport were out due to the storm and contact with the tower was lost. No passengers were killed aboard the aircraft but four people were killed on the ground.",https://www.planecrashinfo.com/2000/2000-51.htm,26.0907673,-98.2788191
"October 08, 2000",15:20,"Port Radium, Northwest Territories, Canada",Summit Air Charters,,Kuglluktuk - Yellowknife,C-FSDZ,SH-1953,3,1.0,2.0,3,1.0,2.0,0.0,"The chartered cargo plane hit tree tops and discintegrated while attempting to land. Although the pilot and the aircraft were certified for instrument flight, the pilot apparently continued to fly in accordance with visual flight rules after encountering marginal weather conditions and reduced visibility. For undetermined reasons, the pilot descended below the elevation of the terrain surrounding the airstrip, resulting in a controlled-flight-into-terrain accident.",https://www.planecrashinfo.com/2000/2000-52.htm,66.0850119,-118.035993
"October 10, 2000",14:52,"Wichita, Kansas",Bombardier Aerospace,,Test flight,C-FTBZ,5991,3,0.0,3.0,2,0.0,2.0,0.0,"The cause of this accident was the pilot's excessive takeoff rotation, during an aft center of gravity takeoff, a rearward migration of fuel during acceleration and takeoff and consequent shift in the airplane's aft c.g. to aft of the aft c.g. limit, which caused the airplane to stall at an altitude too low for recovery. Contributing to the accident were Bombardier's inadequate flight planning procedures for the Challenger flight test program and the lack of direct, on-site operational oversight by Transport Canada and the Federal Aviation Administration.",https://www.planecrashinfo.com/2000/2000-53.htm,37.6922361,-97.3375448
"October 16, 2000",17:33,"Hillsboro, Missouri",Private,,St. Louis - New Madrid,N8354N,335-0064,3,2.0,1.0,3,2.0,1.0,0.0,"The twin engine Cessna crashed into a densely wooded area, 30 miles south of St. Louis, 25 minutes after taking off from Parks Airport. The plane was flying in rain and fog when the pilot reported he was at 6,500 feet and having problems with the artificial horizon. Radar contact was soon lost with the aircraft.  Witnesses reported hearing a plane in a dive followed by an explosion.  Wreckage was scattered over a wide area.  Mel Carnahan, 66, Governor of Missouri was killed in the accident along with a campaign aide and his son, Roger, who was piloting the plane.",https://www.planecrashinfo.com/2000/2000-54.htm,38.2322766,-90.5629034
"October 19, 2000",12:12,"Near Sam Neua, Laos",Lao Aviation,703,Vientiane - Sam Neua,RDPL-34130,86,17,15.0,2.0,8,8.0,0.0,0.0,"The aircraft crashed into a mountain at 4,800 ft., in poor weather, while making an apporach to Sam Neua.",https://www.planecrashinfo.com/2000/2000-55.htm,20.4151514,104.047364
